tag,H,density,core,n_seeds,r2_int_mean,r2_int_sd,r2_int_min,r2_int_max,r2_int_seed0_B,r2_float_seed0_mean,energy_per_bin_nJ,energy_per_bin_sdf_nJ,cycles_per_bin,leakage_uW,area_mm2,cells,util_pct,p_avg_250Hz_uW,r2_int_indy_20160622_01_mean,r2_int_indy_20160622_01_sd,r2_int_indy_20160630_01_mean,r2_int_indy_20160630_01_sd,r2_int_indy_20170131_02_mean,r2_int_indy_20170131_02_sd,pareto
H128_th256_k44_drop_p0.125,128,0.125,bmi_snn_g128p125,5,0.546,0.00341,0.542,0.551,0.525,0.551,3.78,4.36,21.2,0.314,0.292,40320,50,1.41,0.608,0.00497,0.516,0.0067,0.513,0.0063,False
H64_th256_k44_drop,64,1,bmi_snn_m12,5,0.581,0.00271,0.578,0.585,0.537,0.583,5.2,6.9,21,0.362,0.24,32603,30,2.09,0.639,0.000802,0.533,0.00614,0.572,0.01,True
H64_th256_k44_drop_p0.5,64,0.5,bmi_snn_g64p50,5,0.578,0.00142,0.577,0.581,0.539,0.577,3.81,4.81,21,0.376,0.204,29067,30,1.58,0.637,0.00266,0.539,0.00417,0.559,0.00498,True
H64_th256_k44_drop_p0.25,64,0.25,bmi_snn_sp,5,0.573,0.00148,0.57,0.574,0.531,0.574,2.67,3.15,20.8,0.243,0.176,24546,40,1.03,0.628,0.0029,0.532,0.00544,0.558,0.00224,True
H64_th256_k44_drop_p0.125,64,0.125,bmi_snn_g64p125,5,0.528,0.00666,0.517,0.533,0.501,0.533,1.76,2.02,20.8,0.159,0.141,19914,50,0.665,0.594,0.00843,0.496,0.00647,0.496,0.0176,False
H32_th256_k44_drop,32,1,bmi_snn_min32,5,0.574,0.00359,0.571,0.58,0.517,0.572,3.46,4.18,20.8,0.144,0.119,16744,50,1.19,0.633,0.00573,0.521,0.00418,0.569,0.00826,True
H32_th256_k44_drop_p0.5,32,0.5,bmi_snn_g32p50,5,0.573,0.00372,0.569,0.578,0.515,0.569,1.78,2.21,20.8,0.108,0.101,13775,50,0.66,0.629,0.00644,0.521,0.00646,0.567,0.00565,True
H32_th256_k44_drop_p0.25,32,0.25,bmi_snn_g32p25,5,0.556,0.00362,0.55,0.561,0.514,0.55,1.36,1.58,20.8,0.0977,0.0916,12526,50,0.493,0.613,0.00598,0.513,0.00484,0.541,0.0105,True
H16_th256_k44_drop,16,1,bmi_snn_min16,5,0.552,0.00458,0.546,0.556,0.499,0.555,1.69,2.06,20.5,0.0641,0.0655,9150,60,0.58,0.613,0.012,0.497,0.0109,0.545,0.0088,False
H16_th256_k44_drop_p0.5,16,0.5,bmi_snn_g16p50,5,0.544,0.0041,0.539,0.549,0.492,0.545,0.93,1.1,20.6,0.0464,0.0542,7359,60,0.321,0.599,0.0123,0.492,0.0135,0.541,0.00756,True
